INFO : 2015-04-20 11:34:06,177 adding to list  ../../../Monitoring\Netherlands\0420_0918_RA_NL_MOB_Prepaid_2015_04.xlsm
INFO : 2015-04-20 11:34:06,178 adding to list  ../../../Monitoring\Netherlands\0420_1405_RA_NL_MOB_Postpaid_CBS_2015_04.xlsm
INFO : 2015-04-20 11:34:06,180 adding to list  ../../../Monitoring\Netherlands\updating_RA_NL_MOB_Postpaid_SV_2015_04.xlsm
INFO : 2015-04-20 11:34:06,180 adding to list  ../../../Monitoring\Netherlands\~$0420_0000_RA_NL_MOB_Postpaid_SV_2015_04.xlsm
INFO : 2015-04-20 11:34:06,180 adding to list  ../../../Monitoring\Netherlands\~$0420_0918_RA_NL_MOB_Prepaid_2015_04.xlsm
INFO : 2015-04-20 11:34:06,181 adding to list  ../../../Monitoring\Netherlands\~$updating_RA_NL_MOB_Postpaid_SV_2015_04.xlsm
DEBUG : 2015-04-20 11:34:06,183 trying to open file ../../../Monitoring\Netherlands\0420_0000_RA_NL_MOB_Postpaid_SV_2015_04.xlsm
DEBUG : 2015-04-20 11:34:09,253 file opened successfully
DEBUG : 2015-04-20 11:34:09,513 trying to open file ../../../Monitoring\Netherlands\0420_0918_RA_NL_MOB_Prepaid_2015_04.xlsm
DEBUG : 2015-04-20 11:34:11,226 file opened successfully
DEBUG : 2015-04-20 11:34:11,236 trying to open file ../../../Monitoring\Netherlands\0420_1405_RA_NL_MOB_Postpaid_CBS_2015_04.xlsm
DEBUG : 2015-04-20 11:34:18,384 file opened successfully
DEBUG : 2015-04-20 11:34:18,529 trying to open file ../../../Monitoring\Netherlands\updating_RA_NL_MOB_Postpaid_SV_2015_04.xlsm
DEBUG : 2015-04-20 11:34:21,585 file opened successfully
DEBUG : 2015-04-20 11:34:21,746 trying to open file ../../../Monitoring\Netherlands\~$0420_0000_RA_NL_MOB_Postpaid_SV_2015_04.xlsm
WARNING : 2015-04-20 11:34:21,747 cannot open and search file with excel
DEBUG : 2015-04-20 11:34:21,970 trying to open file ../../../Monitoring\Netherlands\~$0420_0918_RA_NL_MOB_Prepaid_2015_04.xlsm
WARNING : 2015-04-20 11:34:21,971 cannot open and search file with excel
DEBUG : 2015-04-20 11:34:22,226 trying to open file ../../../Monitoring\Netherlands\~$updating_RA_NL_MOB_Postpaid_SV_2015_04.xlsm
WARNING : 2015-04-20 11:34:22,227 cannot open and search file with excel
INFO : 2015-04-20 11:35:18,842  started to run with arguments['G:\\RevenueAssurance\\Monitoring\\Croatia\\CommentGatherer\\getComments.py']
INFO : 2015-04-20 11:35:18,967 adding to list  ../../../Monitoring\Netherlands\0420_0000_RA_NL_MOB_Postpaid_SV_2015_04.xlsm
INFO : 2015-04-20 11:35:18,969 adding to list  ../../../Monitoring\Netherlands\0420_0918_RA_NL_MOB_Prepaid_2015_04.xlsm
INFO : 2015-04-20 11:35:18,970 adding to list  ../../../Monitoring\Netherlands\0420_1405_RA_NL_MOB_Postpaid_CBS_2015_04.xlsm
INFO : 2015-04-20 11:35:18,970 adding to list  ../../../Monitoring\Netherlands\updating_RA_NL_MOB_Postpaid_SV_2015_04.xlsm
INFO : 2015-04-20 11:35:18,970 adding to list  ../../../Monitoring\Netherlands\~$0420_0000_RA_NL_MOB_Postpaid_SV_2015_04.xlsm
INFO : 2015-04-20 11:35:18,971 adding to list  ../../../Monitoring\Netherlands\~$0420_0918_RA_NL_MOB_Prepaid_2015_04.xlsm
INFO : 2015-04-20 11:35:18,973 adding to list  ../../../Monitoring\Netherlands\~$updating_RA_NL_MOB_Postpaid_SV_2015_04.xlsm
DEBUG : 2015-04-20 11:35:18,973 trying to open file ../../../Monitoring\Netherlands\0420_0000_RA_NL_MOB_Postpaid_SV_2015_04.xlsm
DEBUG : 2015-04-20 11:35:22,743 file opened successfully
DEBUG : 2015-04-20 11:35:26,684 trying to open file ../../../Monitoring\Netherlands\0420_0918_RA_NL_MOB_Prepaid_2015_04.xlsm
DEBUG : 2015-04-20 11:35:28,107 file opened successfully
DEBUG : 2015-04-20 11:35:28,117 trying to open file ../../../Monitoring\Netherlands\0420_1405_RA_NL_MOB_Postpaid_CBS_2015_04.xlsm
DEBUG : 2015-04-20 11:35:35,265 file opened successfully
DEBUG : 2015-04-20 11:35:37,118 trying to open file ../../../Monitoring\Netherlands\updating_RA_NL_MOB_Postpaid_SV_2015_04.xlsm
DEBUG : 2015-04-20 11:35:40,198 file opened successfully
DEBUG : 2015-04-20 11:35:40,576 trying to open file ../../../Monitoring\Netherlands\~$0420_0000_RA_NL_MOB_Postpaid_SV_2015_04.xlsm
WARNING : 2015-04-20 11:35:40,578 cannot open and search file with excel
DEBUG : 2015-04-20 11:35:40,808 trying to open file ../../../Monitoring\Netherlands\~$0420_0918_RA_NL_MOB_Prepaid_2015_04.xlsm
WARNING : 2015-04-20 11:35:40,809 cannot open and search file with excel
